ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price
6920,Super built-up  Area,Ready To Move,Benson Town,2 BHK,,1300,2.0,1.0,120.0
5969,Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,1126,2.0,2.0,39.0
7756,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470,4.0,2.0,203.0
3464,Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664,1.0,1.0,35.0
8607,Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1592,3.0,,125.0
6803,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1460,2.0,3.0,43.79
3247,Built-up  Area,Ready To Move,Bellari Road,2 BHK,Pralmat,900,2.0,1.0,45.0
5496,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,1700,2.0,2.0,68.5
4877,Super built-up  Area,Ready To Move,Mathikere,3 BHK,Dovel M,1590,3.0,0.0,120.0
2522,Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,83.33
2742,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,3.0,73.5
4525,Plot  Area,Ready To Move,Shirdi Sai Nagar,3 Bedroom,,1200,3.0,0.0,85.0
9622,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1679,3.0,2.0,94.86
10559,Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524,1.0,1.0,29.0
6476,Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1859,3.0,1.0,108.0
8898,Built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,Fosic C,1450,3.0,1.0,65.0
1109,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,2.0,2.0,29.0
6556,Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,Aaityi ,2040,2.0,2.0,59.0
5802,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,2100,4.0,2.0,145.0
1038,Built-up  Area,Ready To Move,Kempapura,5 Bedroom,,4200,5.0,2.0,225.0
20,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0
9438,Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1332,2.0,2.0,101.0
5936,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1173,2.0,2.0,45.75
4797,Super built-up  Area,20-Aug,Sarjapur  Road,2 BHK,Ahciace,1145,2.0,1.0,62.0
8431,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,666,1.0,1.0,36.8
934,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1680,3.0,2.0,150.0
9354,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,52.32
3307,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1495,2.0,2.0,75.0
394,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2.0,1.0,58.0
3080,Built-up  Area,Ready To Move,Vijayanagar,2 BHK,,989,2.0,0.0,60.0
1737,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1062,2.0,1.0,42.47
2165,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,,3125,9.0,,350.0
561,Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,33.32
1162,Super built-up  Area,17-Dec,1st Block Jayanagar,6 BHK,,1200,6.0,2.0,125.0
4865,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1310,2.0,1.0,37.83
3047,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RohtsHe,1100,2.0,3.0,58.0
7514,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1220,2.0,2.0,52.0
1527,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1297,2.0,2.0,112.0
8910,Built-up  Area,Ready To Move,Ananth Nagar,3 BHK,VmlleRo,1470,3.0,2.0,54.0
6969,Plot  Area,Ready To Move,Singasandra,6 Bedroom,,1200,6.0,3.0,220.0
58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0
2453,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0
5910,Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,,1179,2.0,2.0,49.35
2291,Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,175.0
8086,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1120,2.0,2.0,65.0
6902,Built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Suent A,1560,3.0,3.0,68.0
5453,Plot  Area,Ready To Move,Kannur,6 Bedroom,,3Cents,6.0,3.0,75.0
7093,Plot  Area,Ready To Move,2nd Phase JP Nagar,8 Bedroom,,1350,8.0,2.0,185.0
2820,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Esatea ,1300,2.0,2.0,70.0
9471,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245,2.0,2.0,100.0
4392,Built-up  Area,Ready To Move,Devasthanagalu,3 BHK,Grmes L,1460,3.0,2.0,70.0
414,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,64.5
10124,Plot  Area,Ready To Move,Kodigehalli,3 Bedroom,,1200,4.0,1.0,156.0
5572,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1690,3.0,2.0,85.0
3312,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Sheurre,1300,2.0,2.0,61.0
2698,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170,2.0,1.0,71.0
10348,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1930,4.0,2.0,122.0
7441,Built-up  Area,Ready To Move,Mallasandra,4 BHK,Shbhi S,1810,3.0,2.0,57.0
7566,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2.0,1.0,54.0
6021,Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,PuoodSk,1330,2.0,1.0,93.0
7246,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,55.5
5234,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,105.0
2133,Built-up  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,4800,4.0,3.0,190.0
1897,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,45.0
6594,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1120,2.0,2.0,40.0
3501,Super built-up  Area,Ready To Move,Green Garden Layout,3 BHK,Mas 2 H,1800,3.0,2.0,70.0
7558,Plot  Area,Ready To Move,Whitefield,3 Bedroom,,1808,4.0,0.0,80.0
7092,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1065,2.0,1.0,42.59
8282,Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Saacela,1190,2.0,1.0,60.0
6302,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,934,2.0,2.0,55.0
1817,Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1167,2.0,2.0,39.98
1937,Plot  Area,Ready To Move,Chikkasandra,9 Bedroom,,1200,9.0,3.0,120.0
5337,Plot  Area,Ready To Move,Jalahalli,4 Bedroom,,1200,4.0,0.0,90.0
2335,Plot  Area,Ready To Move,Bahubali Nagar,5 Bedroom,,1575,4.0,0.0,150.0
2072,Built-up  Area,Ready To Move,Yemlur,2 BHK,,1100,2.0,2.0,55.0
1726,Built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,0.0,85.0
1047,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Krrbsil,2169,4.0,,115.0
6062,Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1100,2.0,1.0,53.0
8568,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355,2.0,1.0,97.6
2320,Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,GeereEc,2556,3.0,2.0,133.0
4222,Built-up  Area,Ready To Move,Sampangi Rama Nagar,2 Bedroom,,1200,2.0,1.0,125.0
4657,Super built-up  Area,19-Jun,Kodigehalli,1 BHK,,655,1.0,1.0,53.0
766,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,735,2.0,1.0,57.99
1144,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,1985,3.0,2.0,75.0
5737,Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,45.91
2273,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1845,4.0,1.0,110.0
5035,Super built-up  Area,Ready To Move,Dommasandra,2 BHK,,1153,2.0,2.0,43.5
8585,Super built-up  Area,Ready To Move,Whitefield,2 BHK,UKe 2nz,1495,3.0,3.0,88.0
6083,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Niacesa,1507,2.0,3.0,95.0
5372,Super built-up  Area,18-Dec,Hennur Road,2 BHK,Inaxyga,1040,2.0,2.0,50.0
8639,Super built-up  Area,19-Aug,Kodathi,2 BHK,,829,2.0,1.0,22.8
5033,Plot  Area,Ready To Move,Cottonpet,8 Bedroom,,1224,4.0,0.0,200.0
5199,Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,900,2.0,2.0,45.0
9714,Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,73.0
828,Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,Disical,1375,3.0,2.0,75.0
7434,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,75.0
1672,Plot  Area,Ready To Move,Kumbena Agrahara,6 Bedroom,,1200,4.0,1.0,135.0
3936,Built-up  Area,Ready To Move,Ardendale,5 Bedroom,,4355,3.0,1.0,350.0
6576,Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1030,2.0,1.0,49.35
4419,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3.0,1.0,109.0
6598,Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1355,3.0,0.0,135.0
