ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,PricePrediction
10577,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2.0,3.0,83.0,78.41666666666667
2519,Built-up  Area,18-Feb,Kodichikkanahalli,5 BHK,,2700,7.0,2.0,125.0,126.75
9371,Super built-up  Area,18-May,Balagere,1 BHK,Soresea,645,1.0,1.0,39.0,37.95614583333334
4794,Super built-up  Area,Ready To Move,Kalyan nagar,4 BHK,Satle C,2422,3.0,2.0,150.0,146.5625
2724,Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035,2.0,1.0,40.5,41.0884375
5700,Super built-up  Area,18-Mar,GM Palaya,2 BHK,,1140,2.0,2.0,48.95,48.38156250000002
510,Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,,1200,3.0,1.0,165.0,147.5
2954,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1243,2.0,2.0,48.5,50.26642992424242
2754,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2.0,2.0,125.0,121.0625
3826,Super built-up  Area,18-May,Tavarekere,3 BHK,,1250,3.0,2.0,40.0,41.03125
1766,Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,,1280,2.0,2.0,40.0,51.70401041666666
651,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Cevely ,1500,3.0,1.0,150.0,130.953125
10235,Built-up  Area,Ready To Move,Rajapura,2 BHK,,1000,2.0,0.0,50.0,49.34375
10377,Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35,30.350000000000016
7894,Plot  Area,Ready To Move,Whitefield,4 Bedroom,UKe 2nz,5200,5.0,3.0,242.0,325.71875
3353,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,2.0,52.8,51.90109374999999
5459,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,950,2.0,1.0,39.0,39.234375
10176,Super built-up  Area,Ready To Move,MLA Layout,2 BHK,,1050,2.0,1.0,36.0,40.458125
5706,Built-up  Area,18-Dec,"Bellandur, ",4 BHK,,3160,4.0,3.0,206.0,216.34375
9424,Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1085,2.0,1.0,46.5,49.236093749999995
7907,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Mosom B,1175,2.0,3.0,49.0,57.0396875
10314,Super built-up  Area,18-Jul,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,95.0,94.72125
10572,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Goty  E,1258,2.0,1.0,85.5,80.0653125
3002,Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,5 Bedroom,,800,5.0,2.0,98.0,100.1875
360,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,89.04,87.72745833333333
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,18.8215625
9753,Built-up  Area,18-Jul,Bommasandra Industrial Area,2 BHK,,1125,2.0,1.0,32.49,38.124791666666674
9630,Super built-up  Area,18-Apr,Electronics City Phase 1,2 BHK,Shitt S,1170,2.0,1.0,62.0,59.629583333333336
8035,Plot  Area,18-May,Banashankari Stage VI,3 Bedroom,,600,3.0,2.0,90.0,88.59375
7690,Super built-up  Area,18-Apr,Haralur Road,2 BHK,,1027,2.0,2.0,44.0,43.86426299395049
5650,Super built-up  Area,18-Apr,Hosur Road,3 BHK,PuendWe,1766,3.0,1.0,130.0,122.1875
5935,Plot  Area,Ready To Move,Hallehalli,4 Bedroom,,1260,4.0,2.0,65.0,99.6875
2107,Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,,1320,2.0,1.0,38.12,39.19322916666667
6529,Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Krberl ,1020,2.0,1.0,46.5,47.399791666666665
4414,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Contsci,1965,3.0,3.0,120.0,134.5625
673,Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,,1180,2.0,2.0,78.34,67.69375
1010,Plot  Area,Ready To Move,Thurahalli,4 Bedroom,,600,3.0,2.0,65.0,66.65625
7013,Built-up  Area,Ready To Move,Kengeri,3 BHK,,1436,2.0,2.0,55.0,60.2478125
8673,Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,,1000,5.0,,130.0,137.21875
398,Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2.0,1.0,120.0,115.53125
424,Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2.0,2.0,67.0,63.97
6870,Built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1299,2.0,1.0,100.0,96.234375
8825,Built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,,1720,3.0,3.0,83.0,90.90625
7746,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1100,2.0,3.0,35.0,38.997187499999995
4982,Super built-up  Area,Ready To Move,Koramangala,4 BHK,,5985,4.0,,775.0,730.78125
9958,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Suavea ,1500,2.0,,99.0,109.8125
3526,Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,,1616,3.0,0.0,95.0,90.89359375000001
2455,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1135,2.0,3.0,55.0,54.264375
2554,Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,,1465,2.0,3.0,74.72,73.74
5128,Super built-up  Area,Ready To Move,Harlur,3 BHK,,1750,3.0,2.0,136.0,131.6015625
8401,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,,907,2.0,2.0,38.5,41.3884375
1833,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1101,2.0,2.0,65.5,64.78697916666667
8713,Super built-up  Area,18-Jan,Hosa Road,2 BHK,SRrnauv,840,2.0,1.0,28.0,30.277380952380952
483,Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5.0,2.0,190.0,161.21875
303,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3.0,0.0,100.0,92.88359375
1488,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1200,2.0,2.0,44.0,48.61510416666667
4767,Super built-up  Area,Ready To Move,Gottigere,3 BHK,JaghtDe,1385,3.0,2.0,64.0,65.7046875
2771,Built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1090,3.0,2.0,44.0,50.85588392857143
10629,Super built-up  Area,18-Dec,Channasandra,2 BHK,MVisear,830,2.0,1.0,36.28,35.609999999999985
6572,Super built-up  Area,Ready To Move,Kambipura,2 BHK,,883,2.0,1.0,44.0,40.22392971611722
932,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1935,4.0,2.0,130.0,128.15625
9486,Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1441,2.0,1.0,95.0,92.16312500000001
8364,Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,,1000,2.0,1.0,63.0,55.34375
1297,Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,,1800,3.0,3.0,80.0,83.6875
2691,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1050,2.0,1.0,42.0,62.92734824290292
8649,Built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1100,2.0,0.0,50.0,40.3590625
3299,Super built-up  Area,19-Oct,Kadubeesanahalli,2 BHK,,970,2.0,1.0,35.0,36.08411458333333
1576,Super built-up  Area,16-Dec,Yelachenahalli,2 BHK,,2400,1.0,1.0,150.0,148.5625
10371,Super built-up  Area,18-Dec,Varthur Road,2 BHK,,850,2.0,1.0,25.4,24.871249999999993
3937,Super built-up  Area,17-Oct,Hulimavu,2 BHK,ArowsMe,1225,2.0,2.0,55.0,52.3125
4385,Plot  Area,Ready To Move,Seegehalli,2 Bedroom,,1155,2.0,0.0,72.0,68.56640625
4412,Plot  Area,Ready To Move,CQAL Layout,4 Bedroom,,3811,3.0,2.0,475.0,394.4375
8776,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1152,2.0,1.0,54.0,52.830000000000005
10023,Super built-up  Area,Ready To Move,Hormavu,3 BHK,Naandit,1365,2.0,2.0,65.0,61.465812500000006
4862,Super built-up  Area,18-May,Choodasandra,2 BHK,Emhtsl ,1197,2.0,1.0,63.0,59.26020833333334
6199,Super built-up  Area,Ready To Move,Bellandur,2 BHK,GoncyRe,1325,2.0,2.0,65.0,69.96901041666666
8873,Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1660 - 1805,3.0,0.0,91.855,95.4470028409091
1954,Super built-up  Area,18-Apr,Kudlu Gate,3 BHK,,1364,2.0,3.0,46.38,56.981875000000024
3834,Super built-up  Area,19-Aug,Begur Road,3 BHK,Pruthg ,1583,3.0,1.0,74.4,74.97285714285718
3541,Super built-up  Area,18-May,Muthurayya Swamy Layout,4 BHK,MacleK ,3595,6.0,2.0,360.0,334.72916666666663
9311,Super built-up  Area,Ready To Move,Hanumanth Nagar,3 BHK,Saersel,1500,3.0,3.0,67.49,70.35218749999999
8263,Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2.0,2.0,55.5,53.75633928571429
562,Built-up  Area,Ready To Move,Ittamadu,2 BHK,,1080,2.0,2.0,50.0,46.76875
2926,Super built-up  Area,Ready To Move,Tindlu,3 BHK,Shmolti,1357,2.0,2.0,65.0,64.50562500000001
9810,Super built-up  Area,18-May,Gunjur Palya,3 BHK,,1400,3.0,2.0,45.0,50.8425
1056,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1260,2.0,3.0,40.32,47.59375
3194,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1259,2.0,1.0,67.4,67.52254166666668
8466,Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,,1260,2.0,1.0,95.0,82.3684375
1022,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1100,2.0,1.0,56.0,54.674687500000005
4914,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,47.0,50.11930803571429
7698,Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,1205,2.0,1.0,70.0,64.68437499999999
2613,Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072,3.0,2.0,108.0,115.21875
6333,Plot  Area,Ready To Move,Harohalli,2 Bedroom,,2.09Acres,2.0,0.0,200.0,180.3125
1142,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1039,2.0,2.0,80.0,66.9371875
1941,Built-up  Area,Ready To Move,6th Phase JP Nagar,3 Bedroom,,600,2.0,0.0,100.0,80.84375
1669,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1200,4.0,2.0,245.0,245.703125
4884,Super built-up  Area,18-Oct,Electronic City Phase II,2 BHK,SRhtsa ,888 - 1290,2.0,0.0,32.67,35.82729166666666
1245,Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2292,4.0,1.0,275.0,255.390625
107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,242.64215029761905
4366,Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,,2500,3.0,3.0,200.0,183.6875
6916,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1000,1.0,,90.0,76.94
3110,Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541,3.0,1.0,69.84,77.96859375
10212,Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1642,2.0,1.0,115.0,107.9734375
927,Super built-up  Area,18-Dec,Thanisandra,2 BHK,Omter A,1000 - 1285,2.0,0.0,43.415,43.62749999999999
7319,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,ARestco,1051,2.0,3.0,61.0,56.554375
9909,Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,,1200,6.0,2.0,330.0,273.03125
3315,Plot  Area,17-Jun,Sarjapur  Road,3 Bedroom,AztheBr,2600,3.0,2.0,200.0,219.90625
10250,Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,2700,3.0,1.0,501.0,461.125
8487,Plot  Area,Ready To Move,Sarjapura - Attibele Road,5 Bedroom,,3750,6.0,3.0,295.0,305.0520833333333
5573,Built-up  Area,Ready To Move,Indira Nagar,1 BHK,GoilsDa,850,1.0,2.0,57.0,57.68861607142858
5129,Built-up  Area,Ready To Move,RMV 2nd Stage,3 BHK,,2550,4.0,2.0,290.0,213.546875
7065,Built-up  Area,Ready To Move,Ashwathnagar,2 BHK,,1100,2.0,2.0,55.0,52.609375
3509,Plot  Area,18-Aug,Jigani,3 Bedroom,Prllasw,2400,3.0,2.0,149.0,155.25
6167,Super built-up  Area,Ready To Move,Varthur Road,3 BHK,,1247,2.0,2.0,58.0,54.715624999999996
8888,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,NaonySy,1580,3.0,1.0,83.74,82.23437499999997
8214,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,2.0,56.0,57.84306344696968
9228,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,APuraen,3100,3.0,,400.0,372.25
8936,Super built-up  Area,18-Jun,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,61.0,62.75995535714286
4421,Plot  Area,Ready To Move,Mathikere,3 Bedroom,,1095,3.0,0.0,215.0,168.0625
7540,Super built-up  Area,20-Dec,Old Madras Road,3 BHK,Shmes O,1350,3.0,1.0,47.25,50.91922619047619
9252,Built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,565,2.0,1.0,15.0,22.798125000000002
10419,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,182.0,180.53874007936508
7602,Built-up  Area,18-Apr,Banashankari Stage III,2 BHK,,1304,2.0,0.0,111.0,94.27453125000001
439,Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4.0,3.0,110.0,118.4765625
3405,Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,DSnjh S,1427,2.0,2.0,48.51,56.30406249999999
3031,Built-up  Area,Ready To Move,Whitefield,3 BHK,,1150,2.0,3.0,44.0,48.73521875000001
3274,Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,420,2.0,0.0,35.0,29.531250000000004
4955,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,45.0,38.275135416666664
3853,Plot  Area,Ready To Move,1 Annasandrapalya,11 Bedroom,,1200,6.0,3.0,150.0,166.875
8361,Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1510,3.0,2.0,83.05,81.855
3984,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Niiewem,1125 - 1500,3.0,0.0,51.19,55.74968750000003
6075,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1200,4.0,1.0,160.0,161.25
1194,Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1233,2.0,2.0,43.0,46.675
3458,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,86.91,89.50345833333331
5956,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1000,2.0,1.0,36.0,41.8459375
8762,Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,,600,4.0,0.0,77.0,79.21875
7583,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,58.0,58.351986607142855
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0,54.793749999999996
8667,Built-up  Area,Ready To Move,HSR Layout,5 Bedroom,,3500,5.0,0.0,350.0,273.4375
852,Built-up  Area,Ready To Move,Marathahalli,3 BHK,Bintsee,2489,3.0,,94.0,114.0
6994,Super built-up  Area,Ready To Move,Virupakshapura,2 BHK,,1075,2.0,1.0,55.0,53.39875
9522,Built-up  Area,Ready To Move,Manayata Tech Park,4 BHK,,3400,4.0,,200.0,209.0
3058,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,TRensre,1200,2.0,2.0,50.0,55.34306250000001
7296,Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,,1374,2.0,2.0,88.0,77.9075
346,Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,1350,2.0,0.0,140.0,126.21875
2304,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1155,2.0,1.0,60.0,53.12135416666666
1408,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,,1300,2.0,3.0,69.0,64.4453125
6194,Plot  Area,Ready To Move,Basavangudi,6 Bedroom,,1754,6.0,2.0,650.0,490.46875
7472,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1100,2.0,1.0,68.0,63.4525
9617,Built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,1275,2.0,3.0,69.0,65.8725
1183,Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,884 - 1116,2.0,0.0,46.5,50.2928125
2357,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.8,61.058008150703465
4353,Super built-up  Area,18-Jul,Bommanahalli,2 BHK,,1110,2.0,2.0,33.0,38.161770833333335
3482,Plot  Area,Ready To Move,Mathikere SBM colony,2 Bedroom,,1500,1.0,0.0,160.0,134.75
6773,Super built-up  Area,Ready To Move,VGP Layout,2 BHK,Manha M,1000,2.0,1.0,44.0,44.565
1746,Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,980,2.0,1.0,45.47,46.68708333333334
7388,Built-up  Area,Ready To Move,Somasundara Palya,4 BHK,ManceEl,2400,3.0,3.0,140.0,146.71875
9775,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1495,3.0,2.0,60.0,63.5203125
3485,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2.0,1.0,44.0,48.10052083333333
5639,Plot  Area,Ready To Move,Kasturi Nagar,4 Bedroom,,1200,4.0,2.0,250.0,216.40625
10328,Plot  Area,Ready To Move,Lal Bahadur Shastri Nagar,3 Bedroom,,2400,2.0,2.0,185.0,173.875
9122,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,BrontLa,2210,3.0,3.0,165.0,158.40625
4102,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,2.0,82.5,76.4771875
5838,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Shers S,1200,2.0,1.0,60.0,57.90625
5916,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,SuncyRe,1850,2.0,,110.0,102.390625
5963,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SamesHo,1300,2.0,2.0,52.0,54.4790625
5123,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,,1280,2.0,1.0,48.0,56.7140625
8594,Built-up  Area,Ready To Move,Chandapura,1 BHK,,450,1.0,1.0,9.0,11.445468750000002
2609,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250,3.0,2.0,65.0,60.53125
6620,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1555,3.0,3.0,82.0,80.171875
2813,Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1300,2.0,1.0,49.0,52.471041666666665
5205,Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2.0,1.0,54.5,55.45328258547009
5425,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1096,2.0,1.0,39.0,38.32609375
1432,Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,,1015,2.0,1.0,45.0,46.333749999999995
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,37.09757396489335
8784,Super built-up  Area,19-Oct,Whitefield,2 BHK,SVacyeg,1256,2.0,,73.0,72.75157986111111
2425,Super built-up  Area,18-May,SRINIVASAPURA,2 BHK,,990,2.0,1.0,44.55,45.469999999999985
2270,Plot  Area,Ready To Move,TC Palaya,4 Bedroom,,4800,3.0,3.0,302.0,338.4375
1516,Built-up  Area,Ready To Move,Whitefield,3 BHK,,1541,3.0,1.0,72.0,72.8309375
7708,Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,654,1.0,1.0,36.25,36.958359375
7871,Super built-up  Area,Ready To Move,Jaymahal Road,3 BHK,,3400,3.0,3.0,400.0,355.984375
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0,48.9425
6693,Super built-up  Area,18-May,Shanti Nagar,3 BHK,UbreeAn,1602,2.0,1.0,170.0,158.24144345238096
9001,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBncele,1485,2.0,1.0,66.0,71.1546875
4938,Super built-up  Area,20-Dec,Akshayanagara East,2 BHK,,1210,2.0,1.0,76.0,69.71383928571429
8949,Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,,1209,2.0,2.0,100.0,86.325
2389,Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,,1230,2.0,2.0,43.5,45.4528125
9340,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1350,2.0,1.0,88.0,90.4384375
2899,Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,674,1.0,1.0,19.9,22.84114583333332
1454,Built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,60.0,58.763020833333336
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,141.5853125
1090,Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,6136,4.0,,560.0,550.3854166666666
1650,Built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1310,2.0,1.0,50.0,62.048906249999995
7770,Built-up  Area,Ready To Move,Bellari Road,4 BHK,Sohid O,3500,2.0,1.0,350.0,317.53125
6291,Super built-up  Area,18-Apr,Sarjapur  Road,1 BHK,Kiare S,950,1.0,0.0,39.9,38.717031250000005
3570,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,139.0,150.94140007390052
2564,Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845,2.0,1.0,68.27,79.58593749999999
5380,Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1390,2.0,2.0,65.31,66.65515624999999
895,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,3.0,51.91,50.07812500000001
1512,Super built-up  Area,21-Mar,Whitefield,2 BHK,PritaDo,1272,2.0,1.0,95.05,88.0196875
6386,Super built-up  Area,20-Dec,Whitefield,2 BHK,Somns T,981 - 1249,2.0,0.0,34.555,39.771093750000006
8470,Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,,600,1.0,0.0,45.0,39.39265625
3329,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,120.0,112.141875
8147,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1250,4.0,1.0,100.0,109.1875
8159,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3.0,2.0,77.99,77.69474999999996
2484,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.65,38.6723125
10157,Super built-up  Area,Ready To Move,Electronic City,2 BHK,KBityo ,825,2.0,1.0,35.0,34.259375
6896,Plot  Area,Ready To Move,Hosakerehalli,3 Bedroom,,1200,2.0,1.0,100.0,93.890625
8132,Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1703,3.0,2.0,130.0,129.31220238095239
6569,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,55.0,54.9375
6567,Built-up  Area,Ready To Move,Whitefield,3 Bedroom,,3000,3.0,2.0,400.0,321.5
7076,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2.0,1.0,52.0,48.10052083333333
1217,Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Siace P,1560,3.0,1.0,188.0,159.4703125
866,Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,,900,3.0,2.0,80.0,85.75
4279,Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,,1200,2.0,0.0,75.0,71.02083333333333
9797,Built-up  Area,Ready To Move,Munnekollal,3 BHK,JRarlPe,1222,3.0,2.0,95.0,76.57312499999999
7923,Super built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,1100,2.0,2.0,85.0,83.96875
3094,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2180,3.0,2.0,170.0,199.56312499999999
543,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3.0,2.0,99.0,109.19375000000001
7306,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1360,2.0,2.0,47.59,47.58999999999999
5344,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2145,3.0,3.0,190.0,182.52083333333334
399,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3.0,1.0,45.0,43.660625
5544,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,30.0,27.510404356508968
6210,Super built-up  Area,Ready To Move,BTM Layout,3 BHK,C ensnd,1458,3.0,2.0,79.0,78.27375
